event_id,topic,partition,offset,message_key,event_timestamp,event_type,customer_id,store,product_id,quantity,amount,currency
1001,orders.v1,0,184320,ORD-90001,2026-08-21T06:00:11Z,order_created,CUST-3312,London,SKU-1044,2,41.98,GBP
1002,orders.v1,0,184321,ORD-90002,2026-08-21T06:01:47Z,order_created,CUST-1187,Manchester,SKU-2210,1,15.50,GBP
1003,orders.v1,1,92110,ORD-90003,2026-08-21T06:03:02Z,order_created,CUST-7741,Leeds,SKU-1044,5,104.95,GBP
1004,orders.v1,1,92111,ORD-90002,2026-08-21T06:04:19Z,order_paid,CUST-1187,Manchester,SKU-2210,1,15.50,GBP
1005,orders.v1,2,44870,ORD-90004,2026-08-21T06:07:55Z,order_created,CUST-5028,London,SKU-8890,3,72.00,GBP
1006,orders.v1,0,184322,ORD-90001,2026-08-21T06:09:30Z,order_paid,CUST-3312,London,SKU-1044,2,41.98,GBP
1007,orders.v1,2,44871,ORD-90005,2026-08-21T06:12:41Z,order_created,CUST-6603,Bristol,SKU-3321,1,9.99,GBP
1008,orders.v1,1,92112,ORD-90003,2026-08-21T06:15:08Z,order_cancelled,CUST-7741,Leeds,SKU-1044,5,104.95,GBP
1009,orders.v1,0,184323,ORD-90006,2026-08-21T06:18:22Z,order_created,CUST-2290,Glasgow,SKU-5567,4,88.40,GBP
1010,orders.v1,2,44872,ORD-90004,2026-08-21T06:20:03Z,order_paid,CUST-5028,London,SKU-8890,3,72.00,GBP
1011,orders.v1,1,92113,ORD-90007,2026-08-21T06:23:36Z,order_created,CUST-8814,Manchester,SKU-1044,1,20.99,GBP
1012,orders.v1,0,184324,ORD-90008,2026-08-21T06:26:14Z,order_created,CUST-3312,London,SKU-3321,6,59.94,GBP
1013,orders.v1,2,44873,ORD-90005,2026-08-21T06:29:48Z,order_paid,CUST-6603,Bristol,SKU-3321,1,9.99,GBP
1014,orders.v1,1,92114,ORD-90009,2026-08-21T06:31:57Z,order_created,CUST-4405,Leeds,SKU-2210,2,31.00,GBP
1015,orders.v1,0,184325,ORD-90006,2026-08-21T06:35:12Z,order_paid,CUST-2290,Glasgow,SKU-5567,4,88.40,GBP
1016,orders.v1,2,44874,ORD-90010,2026-08-21T06:38:44Z,order_created,CUST-9926,London,SKU-8890,1,24.00,GBP
1017,orders.v1,1,92115,ORD-90007,2026-08-21T06:41:20Z,order_shipped,CUST-8814,Manchester,SKU-1044,1,20.99,GBP
1018,orders.v1,0,184326,ORD-90008,2026-08-21T06:44:05Z,order_paid,CUST-3312,London,SKU-3321,6,59.94,GBP
1019,orders.v1,2,44875,ORD-90011,2026-08-21T06:47:39Z,order_created,CUST-1187,Manchester,SKU-5567,2,44.20,GBP
1020,orders.v1,1,92116,ORD-90009,2026-08-21T06:50:51Z,order_paid,CUST-4405,Leeds,SKU-2210,2,31.00,GBP
1021,orders.v1,0,184327,ORD-90012,2026-08-21T06:53:27Z,order_created,CUST-7741,Bristol,SKU-1044,3,62.97,GBP
1022,orders.v1,2,44876,ORD-90010,2026-08-21T06:56:10Z,order_shipped,CUST-9926,London,SKU-8890,1,24.00,GBP
1023,orders.v1,1,92117,ORD-90013,2026-08-21T06:58:33Z,order_created,CUST-5028,Glasgow,SKU-3321,8,79.92,GBP
1024,orders.v1,0,184328,ORD-90012,2026-08-21T07:01:48Z,order_paid,CUST-7741,Bristol,SKU-1044,3,62.97,GBP
1025,orders.v1,2,44877,ORD-90014,2026-08-21T07:04:16Z,order_created,CUST-6603,Leeds,SKU-2210,1,15.50,GBP
